FID1,IID1,FID2,IID2,RT,EZ,Z0,Z1,Z2,PI_HAT,PHE,DST,PPC,RATIO
MC.AMD102034@0123890501,MC.AMD102034@0123890501,110913-01,110913-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102064@0123909115,MC.AMD102064@0123909115,105376-01,105376-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102082@0123861570,MC.AMD102082@0123861570,127369-01,127369-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102089@0123861218,MC.AMD102089@0123861218,131648-02,131648-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102094@0123861414,MC.AMD102094@0123861414,127174-01,127174-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102104@0123890006,MC.AMD102104@0123890006,109362-01,109362-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102110@0123909073,MC.AMD102110@0123909073,113343-02,113343-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102153@0123861778,MC.AMD102153@0123861778,132959-01,132959-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102173@0123861365,MC.AMD102173@0123861365,117037-01,117037-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102301@0123908881,MC.AMD102301@0123908881,147686-01,147686-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102372@0123909233,MC.AMD102372@0123909233,146405-01,146405-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102392@0123909824,MC.AMD102392@0123909824,121622-01,121622-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102446@0123908845,MC.AMD102446@0123908845,149093-01,149093-01,UN,NA,0,0.0018,0.9982,0.9991,-1,0.999696,1,NA
MC.AMD102487@0123911324,MC.AMD102487@0123911324,122169-01,122169-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102497@0124014880,MC.AMD102497@0124014880,137694-02,137694-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102516@0123889483,MC.AMD102516@0123889483,113154-02,113154-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102524@0123909291,MC.AMD102524@0123909291,144405-01,144405-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102534@0123909365,MC.AMD102534@0123909365,142854-01,142854-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102612@0123911479,MC.AMD102612@0123911479,114109-02,114109-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102651@0123908813,MC.AMD102651@0123908813,100947-01,100947-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102698@0123889367,MC.AMD102698@0123889367,131105-01,131105-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102705@0124013427,MC.AMD102705@0124013427,134432-01,134432-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102734@0123909822,MC.AMD102734@0123909822,121538-01,121538-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102779@0124011100,MC.AMD102779@0124011100,138511-02,138511-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102855@0123861307,MC.AMD102855@0123861307,129305-01,129305-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102915@0124009884,MC.AMD102915@0124009884,112218-01,112218-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102961@0123908350,MC.AMD102961@0123908350,139298-01,139298-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD102973@0123861375,MC.AMD102973@0123861375,116938-01,116938-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103021@0124009908,MC.AMD103021@0124009908,111732-02,111732-02,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103058@0123861735,MC.AMD103058@0123861735,133898-01,133898-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103063@0123909209,MC.AMD103063@0123909209,102005-01,102005-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103186@0123861295,MC.AMD103186@0123861295,129620-01,129620-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103211@0123909594,MC.AMD103211@0123909594,127578-01,127578-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103227@0123909515,MC.AMD103227@0123909515,127951-01,127951-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103402@0123909340,MC.AMD103402@0123909340,143235-01,143235-01,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD103405@0123861355,MC.AMD103405@0123861355,117469-01,117469-01,UN,NA,0,0,1,1,-1,1,1,NA
